Population,Species,Treatment,Replicate,Hour,Mortalities,Alive,Initial
Kettle Cove,Crepidula fornicata,H1,1,4,0,4,4
Kettle Cove,Crepidula fornicata,H1,2,4,0,4,4
Kettle Cove,Crepidula fornicata,H1,3,4,0,5,5
Kettle Cove,Crepidula fornicata,H1,4,4,0,6,6
Kettle Cove,Crepidula fornicata,H2,1,4,1,3,4
Kettle Cove,Crepidula fornicata,H2,2,4,0,3,3
Kettle Cove,Crepidula fornicata,H2,3,4,0,4,4
Kettle Cove,Crepidula fornicata,H2,4,4,1,4,5
Kettle Cove,Crepidula fornicata,H3,1,4,0,4,4
Kettle Cove,Crepidula fornicata,H3,2,4,0,3,3
Kettle Cove,Crepidula fornicata,H3,3,4,0,5,5
Kettle Cove,Crepidula fornicata,H3,4,4,1,5,6
Kettle Cove,Crepidula fornicata,H4,1,4,1,6,7
Kettle Cove,Crepidula fornicata,H4,2,4,4,2,6
Kettle Cove,Crepidula fornicata,H4,3,4,4,3,7
Kettle Cove,Crepidula fornicata,H4,4,4,3,4,7
Robbinston,Crepidula fornicata,H1,1,4,0,3,3
Robbinston,Crepidula fornicata,H1,2,4,0,3,3
Robbinston,Crepidula fornicata,H1,3,4,0,6,6
Robbinston,Crepidula fornicata,H1,4,4,0,4,4
Robbinston,Crepidula fornicata,H2,1,4,0,3,3
Robbinston,Crepidula fornicata,H2,2,4,0,3,3
Robbinston,Crepidula fornicata,H2,3,4,0,4,4
Robbinston,Crepidula fornicata,H2,4,4,0,3,3
Robbinston,Crepidula fornicata,H3,1,4,1,3,4
Robbinston,Crepidula fornicata,H3,2,4,0,2,2
Robbinston,Crepidula fornicata,H3,3,4,1,2,3
Robbinston,Crepidula fornicata,H3,4,4,0,2,2
Robbinston,Crepidula fornicata,H4,1,4,1,2,3
Robbinston,Crepidula fornicata,H4,2,4,0,2,2
Robbinston,Crepidula fornicata,H4,3,4,0,5,5
Robbinston,Crepidula fornicata,H4,4,4,1,4,5
Newport,Crepidula fornicata,H1,1,4,0,7,7
Newport,Crepidula fornicata,H1,2,4,0,8,8
Newport,Crepidula fornicata,H1,3,4,0,8,8
Newport,Crepidula fornicata,H1,4,4,0,8,8
Newport,Crepidula fornicata,H2,1,4,0,7,7
Newport,Crepidula fornicata,H2,2,4,0,4,4
Newport,Crepidula fornicata,H2,3,4,0,5,5
Newport,Crepidula fornicata,H2,4,4,0,7,7
Newport,Crepidula fornicata,H3,1,4,0,11,11
Newport,Crepidula fornicata,H3,2,4,0,7,7
Newport,Crepidula fornicata,H3,3,4,0,11,11
Newport,Crepidula fornicata,H3,4,4,0,13,13
