"PC1.contig"	"PC1.pos"
"1"	"chr1"	9617
"2"	"chr1"	10148
"3"	"chr1"	10285
"6"	"chr1"	16685
"7"	"chr1"	20625
"8"	"chr1"	21209
"9"	"chr1"	21968
"10"	"chr1"	22113
"12"	"chr1"	23300
"13"	"chr1"	23375
"15"	"chr1"	24903
"17"	"chr1"	26407
"18"	"chr1"	26505
"19"	"chr1"	28808
"20"	"chr1"	32785
"21"	"chr1"	34844
"22"	"chr1"	35310
"24"	"chr1"	36448
"25"	"chr1"	38725
"27"	"chr1"	45367
"28"	"chr1"	47381
"29"	"chr1"	47396
"30"	"chr1"	48036
"31"	"chr1"	48251
"32"	"chr1"	52406
"33"	"chr1"	54259
"34"	"chr1"	55934
"35"	"chr1"	56365
"36"	"chr1"	57928
"37"	"chr1"	58122
"38"	"chr1"	58172
"39"	"chr1"	58339
"40"	"chr1"	59390
"41"	"chr1"	62994
"43"	"chr1"	66617
"44"	"chr1"	66993
"45"	"chr1"	67438
"46"	"chr1"	67929
"47"	"chr1"	68445
"48"	"chr1"	70974
"49"	"chr1"	72404
"50"	"chr1"	81234
"51"	"chr1"	81655
"53"	"chr1"	98815
"54"	"chr1"	101216
"57"	"chr1"	130203
"71"	"chr1"	347946
"107"	"chr1"	418701
"119"	"chr1"	430586
"177"	"chr1"	498269
"212"	"chr1"	528491
"214"	"chr1"	529975
"220"	"chr1"	532137
"232"	"chr1"	540091
"241"	"chr1"	544295
"247"	"chr1"	548485
"254"	"chr1"	558460
"260"	"chr1"	560957
"282"	"chr2"	15165
"295"	"chr2"	23384
"322"	"chr2"	41165
"325"	"chr2"	42074
"333"	"chr2"	47922
"367"	"chr2"	65968
"390"	"chr2"	77707
"414"	"chr2"	89598
"424"	"chr2"	97945
"460"	"chr2"	120428
"466"	"chr2"	121866
"483"	"chr2"	130444
"536"	"chr2"	166279
"548"	"chr2"	174005
"550"	"chr2"	174861
"560"	"chr2"	178569
"566"	"chr2"	180751
"576"	"chr2"	187873
"577"	"chr2"	188183
"582"	"chr2"	190963
"584"	"chr2"	191289
"587"	"chr2"	193149
"617"	"chr2"	210045
"620"	"chr2"	211472
"644"	"chr2"	227188
"656"	"chr2"	233898
"675"	"chr2"	250552
"676"	"chr2"	250894
"681"	"chr2"	251450
"687"	"chr2"	253793
"688"	"chr2"	254179
"689"	"chr2"	256616
"690"	"chr2"	257104
"710"	"chr2"	268004
"729"	"chr2"	275713
"796"	"chr2"	321714
"805"	"chr2"	326395
"811"	"chr2"	330757
"812"	"chr2"	331085
"820"	"chr2"	337291
"861"	"chr2"	365344
"874"	"chr2"	374142
"887"	"chr2"	378632
"898"	"chr2"	383837
"910"	"chr2"	390030
"912"	"chr2"	392972
"936"	"chr2"	408858
"948"	"chr2"	415588
"957"	"chr2"	419768
"980"	"chr2"	435847
"984"	"chr2"	439066
"1003"	"chr2"	454363
"1007"	"chr2"	460015
"1009"	"chr2"	462690
"1021"	"chr2"	470214
"1025"	"chr2"	473051
"1027"	"chr2"	475787
